zip,lat,lng,city,state_id,state_name,population,density,county_fips,county_name,timezone
32935,28.1444,-80.64832,Melbourne,FL,Florida,41342,1214.6,12009,Brevard,America/New_York
33012,25.86583,-80.30247,Hialeah,FL,Florida,71088,4673.8,12086,Miami-Dade,America/New_York
33021,26.02277,-80.18742,Hollywood,FL,Florida,50300,2198.2,12011,Broward,America/New_York
33023,25.98812,-80.21263,Hollywood,FL,Florida,71749,3164.1,12011,Broward,America/New_York
33024,26.02501,-80.24475,Hollywood,FL,Florida,73405,2442.6,12011,Broward,America/New_York
33030,25.4848,-80.50857,Homestead,FL,Florida,36405,796.6,12086,Miami-Dade,America/New_York
33063,26.25138,-80.21014,Pompano Beach,FL,Florida,55143,2595.1,12011,Broward,America/New_York
33065,26.27318,-80.26029,Coral Springs,FL,Florida,60600,2727.3,12011,Broward,America/New_York
33068,26.21644,-80.21535,Pompano Beach,FL,Florida,52792,3166.7,12011,Broward,America/New_York
33134,25.75338,-80.2712,Miami,FL,Florida,37958,2803.4,12086,Miami-Dade,America/New_York
33142,25.80665,-80.25517,Miami,FL,Florida,59121,2093.1,12086,Miami-Dade,America/New_York
33161,25.89357,-80.18285,Miami,FL,Florida,52824,3719.9,12086,Miami-Dade,America/New_York
33178,25.83578,-80.4213,Miami,FL,Florida,64751,409.2,12086,Miami-Dade,America/New_York
33180,25.96145,-80.1415,Miami,FL,Florida,32881,3892.1,12086,Miami-Dade,America/New_York
38671,34.96376,-89.99567,Southaven,MS,Mississippi,37288,647.8,28033,DeSoto,America/Chicago
39212,32.24081,-90.26174,Jackson,MS,Mississippi,29687,387.2,28049,Hinds,America/Chicago
39401,31.23496,-89.26912,Hattiesburg,MS,Mississippi,41755,85.4,28035,Forrest,America/Chicago
05401,44.47484,-73.21758,Burlington,VT,Vermont,32019,2025.7,50007,Chittenden,America/New_York
06010,41.681,-72.94065,Bristol,CT,Connecticut,61077,890.0,09140,Naugatuck Valley,America/New_York
06040,41.7616,-72.52247,Manchester,CT,Connecticut,36847,840.5,09110,Capitol,America/New_York
39503,30.47432,-89.14752,Gulfport,MS,Mississippi,53049,179.2,28047,Harrison,America/Chicago
40214,38.15141,-85.78285,Louisville,KY,Kentucky,46033,1187.4,21111,Jefferson,America/New_York
40324,38.24786,-84.54956,Georgetown,KY,Kentucky,51072,127.1,21209,Scott,America/New_York
40475,37.7635,-84.30828,Richmond,KY,Kentucky,64678,86.9,21151,Madison,America/New_York
47150,38.28831,-85.84775,New Albany,IN,Indiana,49722,426.6,18043,Floyd,America/Kentucky/Louisville
47201,39.15074,-85.99432,Columbus,IN,Indiana,48043,92.2,18005,Bartholomew,America/Indiana/Indianapolis
47362,39.93186,-85.36998,New Castle,IN,Indiana,29377,76.8,18065,Henry,America/Indiana/Indianapolis
